CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     28.7MB / 863kB    0B / 0B       33
29bdf4609909   edge-broker           0.56%     142.6MiB / 15.63GiB   0.89%     29.9MB / 53.3MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.07%     204.2MiB / 15.63GiB   1.28%     29.1MB / 865kB    0B / 0B       33
29bdf4609909   edge-broker           0.68%     142.6MiB / 15.63GiB   0.89%     30.2MB / 53.6MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.07%     204.2MiB / 15.63GiB   1.28%     30.3MB / 871kB    0B / 0B       33
29bdf4609909   edge-broker           0.60%     143MiB / 15.63GiB     0.89%     31.8MB / 55.2MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O          BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.09%     204.2MiB / 15.63GiB   1.28%     31.6MB / 876kB   0B / 0B       33
29bdf4609909   edge-broker           0.78%     143.6MiB / 15.63GiB   0.90%     33MB / 56.4MB    0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.06%     204.2MiB / 15.63GiB   1.28%     33.1MB / 883kB    0B / 0B       33
29bdf4609909   edge-broker           1.19%     145MiB / 15.63GiB     0.91%     34.2MB / 57.6MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     33.5MB / 884kB    0B / 0B       33
29bdf4609909   edge-broker           0.34%     146.2MiB / 15.63GiB   0.91%     34.8MB / 58.2MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     33.5MB / 884kB    0B / 0B       33
29bdf4609909   edge-broker           0.52%     146.2MiB / 15.63GiB   0.91%     34.8MB / 58.2MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   14.46%    204.2MiB / 15.63GiB   1.28%     33.5MB / 1.04MB   0B / 0B       33
29bdf4609909   edge-broker           0.67%     146MiB / 15.63GiB     0.91%     35MB / 63.2MB     0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     33.5MB / 1.04MB   0B / 0B       33
29bdf4609909   edge-broker           0.44%     146MiB / 15.63GiB     0.91%     35MB / 63.2MB     0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     33.5MB / 1.04MB   0B / 0B       33
29bdf4609909   edge-broker           0.65%     145.5MiB / 15.63GiB   0.91%     35MB / 63.2MB     0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.06%     204.2MiB / 15.63GiB   1.28%     33.7MB / 1.04MB   0B / 0B       33
29bdf4609909   edge-broker           0.77%     145.1MiB / 15.63GiB   0.91%     35MB / 63.2MB     0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.09%     204.2MiB / 15.63GiB   1.28%     34.8MB / 1.04MB   0B / 0B       33
29bdf4609909   edge-broker           1.34%     144MiB / 15.63GiB     0.90%     36.6MB / 64.7MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.08%     204.2MiB / 15.63GiB   1.28%     36.3MB / 1.05MB   0B / 0B       33
29bdf4609909   edge-broker           0.67%     144.4MiB / 15.63GiB   0.90%     37.6MB / 65.8MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.08%     204.2MiB / 15.63GiB   1.28%     37.3MB / 1.05MB   0B / 0B       33
29bdf4609909   edge-broker           1.02%     144.4MiB / 15.63GiB   0.90%     39MB / 67.2MB     0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     38.4MB / 1.06MB   0B / 0B       33
29bdf4609909   edge-broker           0.37%     144.3MiB / 15.63GiB   0.90%     39.9MB / 68.1MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     38.4MB / 1.06MB   0B / 0B       33
29bdf4609909   edge-broker           0.50%     144.3MiB / 15.63GiB   0.90%     39.9MB / 68.1MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     38.4MB / 1.06MB   0B / 0B       33
29bdf4609909   edge-broker           0.24%     143.3MiB / 15.63GiB   0.90%     39.9MB / 68.1MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     38.4MB / 1.06MB   0B / 0B       33
29bdf4609909   edge-broker           0.60%     142.8MiB / 15.63GiB   0.89%     39.9MB / 68.1MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   15.98%    204.2MiB / 15.63GiB   1.28%     38.4MB / 1.21MB   0B / 0B       33
29bdf4609909   edge-broker           0.40%     142.7MiB / 15.63GiB   0.89%     39.9MB / 68.1MB   0B / 27.3MB   43
CONTAINER ID   NAME                  CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
0e7525214456   server-src_server_1   0.01%     204.2MiB / 15.63GiB   1.28%     38.4MB / 1.21MB   0B / 0B       33
29bdf4609909   edge-broker           0.79%     142.7MiB / 15.63GiB   0.89%     40.1MB / 73.1MB   0B / 27.3MB   43
